source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
FoodService:1242:ko,FoodService:1242:zht,zht,100,high,0,물레방아 즉석구이,水磨坊現烤 (물레방아 즉석구이),same_id
FoodService:1250:ko,FoodService:1250:zht,zht,100,high,0,목장원,牧場園 (목장원),same_id
FoodService:1275:ko,FoodService:1275:zht,zht,100,high,0,장어촌, 鰻魚村 (장어촌),same_id
FoodService:1476:ko,FoodService:1476:zht,zht,100,high,0,육화목,肉花木 ,same_id
FoodService:1478:ko,FoodService:1478:zht,zht,100,high,0,우토피아,Wootopia,same_id
FoodService:1479:ko,FoodService:1479:zht,zht,100,high,0,우봉,牛峰 (우봉),same_id
FoodService:1494:ko,FoodService:1494:zht,zht,100,high,0,앙탄,鴦壇 (앙탄),same_id
FoodService:1536:ko,FoodService:1536:zht,zht,100,high,0,88돼지갈비,88豬排骨 (88돼지갈비),same_id
FoodService:1822:ko,FoodService:1822:zht,zht,100,high,0,곰보식당,熊牛食堂,same_id
FoodService:1850:ko,FoodService:1850:zht,zht,100,high,0,초필살돼지구이 해운대 본점,必殺技烤豬,same_id
FoodService:2381:ko,FoodService:2381:zht,zht,100,high,0,고기형,,same_id
FestivalService:71:ko,FestivalService:71:zht,zht,100,high,0,"부산바다축제(한,영, 중간,중번,일)",釜山海洋節,same_id
FestivalService:253:ko,FestivalService:253:zht,zht,100,high,0,"수국축제(한,영,중간,중번,일)",在太宗台遇見五彩繽紛繡球花的魅力,same_id
FestivalService:329:ko,FestivalService:329:zht,zht,100,high,0,"센텀맥주축제(한,영,중간,중번,일)",Centum啤酒節 ,same_id
FestivalService:330:ko,FestivalService:330:zht,zht,100,high,0,"금정산성축제(한,영,중간,중번,일)",金井山城節 ,same_id
FestivalService:331:ko,FestivalService:331:zht,zht,100,high,0,"낙동강구포나루축제(한,영,중간,중번,일)",洛東江龜浦渡口節,same_id
FestivalService:395:ko,FestivalService:395:zht,zht,100,high,0,"부산불꽃축제(한, 영, 중간, 중번, 일)",釜山煙火節,same_id
FestivalService:403:ko,FestivalService:403:zht,zht,100,high,0,"삼광사 연등축제(한,영,중간,중번,일)",三光寺燃燈節,same_id
FestivalService:405:ko,FestivalService:405:zht,zht,100,high,0,"해운대모래축제(한,영,중간,중번,일)",海雲台沙灘節 ,same_id
FestivalService:406:ko,FestivalService:406:zht,zht,100,high,0,"부산항축제(한,영,중간,중번,일)",釜山港慶典,same_id
FestivalService:407:ko,FestivalService:407:zht,zht,100,high,0,"동래읍성 역사축제(한, 영, 중간, 중번, 일)",東萊邑城歷史慶典,same_id
FestivalService:411:ko,FestivalService:411:zht,zht,100,high,0,"부산자갈치축제(한,영,중간,중번,일)",釜山札嘎其節,same_id
FestivalService:414:ko,FestivalService:414:zht,zht,100,high,0,"차이나타운특구 문화축제(한,영,중간,중번,일)",釜山中華街特區文化節,same_id
FestivalService:427:ko,FestivalService:427:zht,zht,100,high,0,"부산바다미술제(한,영,중간,중번,일)",美術滲入大海，被稱為藝術的時間「釜山海洋美術節」,same_id
FestivalService:440:ko,FestivalService:440:zht,zht,100,high,0,"해운대 빛축제(한,영,중간,중번,일)",海雲台光慶典,same_id
FestivalService:441:ko,FestivalService:441:zht,zht,100,high,0,"기장미역다시마축제(한, 영, 중간, 중번, 일)",機張海帶昆布節,same_id
FestivalService:442:ko,FestivalService:442:zht,zht,100,high,0,"광안리어방축제(한,영,중간,중번,일)",廣安里漁坊節,same_id
FestivalService:443:ko,FestivalService:443:zht,zht,100,high,0,"기장멸치축제(한, 영, 중간, 중번, 일)",機張鳀魚節 ,same_id
FestivalService:449:ko,FestivalService:449:zht,zht,100,high,0,"광복로 겨울빛 트리축제(한,영,중간,중번,일)",釜山聖誕樹文化節,same_id
FestivalService:470:ko,FestivalService:470:zht,zht,100,high,0,"부산국제록페스티벌(한,영, 중간,중번,일)",釜山國際搖滾節,same_id
FestivalService:497:ko,FestivalService:497:zht,zht,100,high,0,"대저토마토축제(한, 영, 중간, 중번, 일)",大渚番茄節,same_id
FestivalService:499:ko,FestivalService:499:zht,zht,100,high,0,"낙동강 정원 벚꽃축제(한,영,중간,중번,일)",收藏夢幻瞬間，洛東江庭園櫻花節,same_id
FestivalService:500:ko,FestivalService:500:zht,zht,100,high,0,"사상강변축제(한,영,중간,중번,일)",沙上江邊慶典 ,same_id
FestivalService:502:ko,FestivalService:502:zht,zht,100,high,0,"해운대달맞이온천축제(한,영,중간,중번,일)",海雲台迎月溫泉節,same_id
FestivalService:503:ko,FestivalService:503:zht,zht,100,high,0,"해운대북극곰축제(한,영,중간,중번,일)",海雲台北極熊游泳慶典,same_id
FestivalService:523:ko,FestivalService:523:zht,zht,100,high,0,"조선통신사축제(한,영,중간,중번,일)",朝鮮通信使慶典,same_id
FestivalService:524:ko,FestivalService:524:zht,zht,100,high,0,"부산국제영화제(한, 영, 중간, 중번, 일)",釜山國際電影節 ,same_id
FestivalService:531:ko,FestivalService:531:zht,zht,100,high,0,"감천문화마을골목축제(한,영,중간,중번,일)",甘川文化村胡同慶典,same_id
FestivalService:1432:ko,FestivalService:1432:zht,zht,100,high,0,"부산연등회(한,영,중간,중번,일)",繽紛朦朧的釜山燈節,same_id
FestivalService:1694:ko,FestivalService:1694:zht,zht,100,high,0,"부산수제맥주마스터스챌린지(한,영,중간,중번,일)",釜山精釀啤酒大師挑戰賽,same_id
FestivalService:1897:ko,FestivalService:1897:zht,zht,100,high,0,부산국제어린이청소년영화제,釜山國際兒童青少年電影節,same_id
FestivalService:2136:ko,FestivalService:2136:zht,zht,100,high,0,"서면 빛 축제(한,영,중간,중번,일)",西面之夜，走進光之饗宴！「西面燈節」,same_id
FestivalService:2368:ko,FestivalService:2368:zht,zht,100,high,0,2026 원아시아페스티벌(BOF),釜山 One Asia Festival(BOF),same_id
