source_key,title,category,lat,lng,address,has_image,has_desc,comparison_result,ref_match
AttractionService:264:en,"Munhwa Gonggam Sujeong and Choryang 1941, where old stories remain",attraction,35.125793,129.04265,"Munhwa Gonggam Sujeong : 75, Honggok-ro, Dong-gu, Busan
Choryang 1941 : 533-5, Mangyang-ro, Dong-gu, Busan",true,true,comparison_source_missing,
AttractionService:265:en,"Ilgwang Beach, the past and present of the Busan Sea ",attraction,35.259953,129.23373,"143-10, Samseong-ri, Ilgwang-eup, Gijang-gun, Busan",true,true,comparison_source_missing,
AttractionService:266:en,Former Baekje Hospital,attraction,35.116383,129.03917,"16, Jungang-daero 209beon-gil, Dong-gu, Busan, Republic of Korea",true,true,comparison_source_missing,
AttractionService:267:en,Baeksan Memorial Hall,attraction,35.101955,129.03456,"11, Baeksan-gil, Jung-gu, Busan",true,true,comparison_source_missing,
AttractionService:268:en,Hansung 1918 Busan Lifestyle Culture Center,attraction,35.10178,129.03444,"13, Baeksan-gil, Jung-gu, Busan",true,true,comparison_source_missing,
AttractionService:269:en,History Museum of Joseon Tongsinsa,attraction,35.135754,129.06203,"99, Jaseong-ro, Dong-gu, Busan",true,true,comparison_source_missing,
AttractionService:270:en,Busan Marine Natural History Museum,attraction,35.22178,129.07591,"175, Ujangchun-ro, Dongnae-gu, Busan",true,true,comparison_source_missing,
AttractionService:272:en,Bosu Book Street: Put a bookmark in your mind,attraction,35.103367,129.02663,"151-1 Bosudong 1-ga, Jung-gu, Busan",true,true,comparison_source_missing,
AttractionService:273:en,"Meet the provisional capital, Busan",attraction,35.103527,129.01735,"45, Imsisudoginyeom-ro, Seo-gu, Busan",true,true,comparison_source_missing,
AttractionService:274:en,Seokdang Museum of Dong-A University embraces the historic values of Korea,attraction,35.10497,129.01926,"225, Gudeok-ro, Seo-gu, Busan",true,true,comparison_source_missing,
AttractionService:275:en,National Memorial Museum of Forced Mobilization under Japanese Occupation embraces the painful history,attraction,35.124355,129.09192,"100, Honggok-ro 320beon-gil, Nam-gu, Busan",true,true,comparison_source_missing,
AttractionService:276:en,History of Busan and the history of Korea,attraction,35.12957,129.09451,"63, UN pyeonghwa-ro, Nam-gu, Busan",true,true,comparison_source_missing,
FoodService:70:ko,만드리곤드레밥,food,35.177387,128.95245,강서구 공항앞길 85번길 13,true,true,comparison_source_missing,
FoodService:77:ko,민물가든,food,35.16055,128.89468,강서구 둔치중앙길5(봉림동) ,true,true,comparison_source_missing,
FoodService:94:ko,가야할매밀면,food,35.185196,129.07988,"부산 연제구 월드컵대로 145번길 32
",true,true,comparison_source_missing,
FoodService:95:ko,국제밀면본점,food,35.19689,129.07785,연제구 중앙대로1235번길 23-6 ,true,true,comparison_source_missing,
FoodService:102:ko,할매가야밀면,food,35.098934,129.03122,중구 광복로 56-14,true,true,matched_busan_ts,busan.ts:Gamcheon Culture Village
FoodService:103:ko,거인통닭,food,35.102345,129.02612,중구 중구로47번길34,true,true,comparison_source_missing,
FoodService:118:ko,부산꼼장어맛집 성일집,food,35.099426,129.03749,중구 대교로 103,true,true,comparison_source_missing,
FoodService:130:ko,배비장보쌈구서본점,food,35.245174,129.09143,금정구 금정로 239,true,true,comparison_source_missing,
FoodService:138:ko,장수장 꼬리곰탕,food,35.19576,128.99043,북구 사상로 577,true,true,comparison_source_missing,
FoodService:146:ko,금수복국 해운대본점,food,35.16243,129.1645,해운대구 중동1로 43번길23,true,true,comparison_source_missing,
FoodService:152:ko,다온 한정식,food,35.158123,129.14853,부산 해운대구 해운대해변로 154 마리나동원8층,true,true,comparison_source_missing,
FoodService:164:ko,할매재첩국집,food,35.193363,128.98607,사상구 낙동대로1530번길 20-15,true,true,comparison_source_missing,
FoodService:166:ko,예이제,food,35.16123,129.16664, 부산 해운대구 해운대해변로298번길 29 해운대푸르지오시티 2층,true,true,comparison_source_missing,
FoodService:167:ko,합천일류돼지국밥,food,35.16191,128.98045,사상구 광장로 34,true,true,comparison_source_missing,
FoodService:169:ko,원조석대추어탕,food,35.2195,129.12512,부산 해운대구 반송로 571번길 5,true,true,comparison_source_missing,
FoodService:190:ko,할매복국,food,35.160915,129.17152,"달맞이길62번길 1
",true,true,comparison_source_missing,
FoodService:198:ko,신창국밥 본점,food,35.10093,129.02254,서구 보수대로 53,true,true,comparison_source_missing,
FoodService:201:ko,평안도족발,food,35.161945,129.16637,"부산 해운대구 달맞이길 14
",true,true,comparison_source_missing,
FoodService:203:ko,한우숯불양곱창,food,35.165897,129.17079,"부산 해운대구 해운대해변로 385
",true,true,comparison_source_missing,
FoodService:204:ko,쌍둥이돼지국밥 본점,food,35.13177,129.0923,남구 유엔평화로 35-1,true,true,comparison_source_missing,
FoodService:70:en,Mandeuri Gondeurebap (만드리곤드레밥),food,35.177387,128.95245,"13, Gonghangap-gil 85beon-gil, Gangseo-gu",true,true,comparison_source_missing,
FoodService:77:en,MinmulGarden (민물가든),food,35.16055,128.89468,"5, Dunchijungang-gil, Gangseo-gu",true,true,comparison_source_missing,
FoodService:94:en,GayaHalmaeMaemilmyeon (가야할매밀면),food,35.185196,129.07988,"32, World cup-daero 145beon-gil, Yeonje-gu",true,true,comparison_source_missing,
FoodService:95:en,Gukje Milmyeon Main Branch (국제밀면본점),food,35.19689,129.07785,"23-6, Jungang-daero 1235beon-gil, Yeonje-gu",true,true,comparison_source_missing,
FoodService:102:en,Gaya Milmyeon (가야밀면),food,35.098934,129.03122,"56-14, Gwangbok-ro, Jung-gu",true,true,matched_busan_ts,busan.ts:Gamcheon Culture Village
FoodService:103:en,Darin Geoin tongdak,food,35.102345,129.02612,"34 Jung-gu-ro 47beon-gil, Jung-gu",true,true,comparison_source_missing,
FoodService:118:en,Seongiljip,food,35.099426,129.03749,"103, Daegyo-ro, Jung-gu",true,true,comparison_source_missing,
FoodService:130:en,Baebijang Bossam Guseo Branch (배비장보쌈),food,35.245174,129.09143,"239, Geumjeong-ro, Geumjeong-gu",true,true,comparison_source_missing,
FoodService:138:en,Jangsujang Kkorigomtang (장수장꼬리곰탕),food,35.19576,128.99043,"577, Sasang-ro, Buk-gu",true,true,comparison_source_missing,
FoodService:146:en,Geumsubokguk Haeundae Branch (금수복국),food,35.16243,129.1645,"23, Jungdong 1-ro 43beon-gil, Haeundae-gu",true,true,comparison_source_missing,
FoodService:152:en,Daon (다온),food,35.158123,129.14853,"154, Haeundaehaebyeon-ro, Haeundae-gu",true,true,comparison_source_missing,
FoodService:164:en,Halmae Jaecheopguk (할매재첩국),food,35.193363,128.98607,"20-15, Nakdong-daero 1530beon-gil, Sasang-gu",true,true,comparison_source_missing,
FoodService:166:en,Yeije (예이제),food,35.16123,129.16664,"29, Haeundaehaebyeon-ro 298beon-gil, Haeundae-gu",true,true,comparison_source_missing,
FoodService:167:en,Hapcheon Illyu Dwaejigukbap (합천일류돼지국밥),food,35.16191,128.98045,"34, Gwangjang-ro, Sasang-gu",true,true,comparison_source_missing,
FoodService:169:en,Wonjo Seokdae Chueotang (원조석대추어탕),food,35.2195,129.12512,"5, Bansong-ro 571beon-gil, Haeundae-gu",true,true,comparison_source_missing,
FoodService:190:en,Halmae Bokguk (원조할매복국),food,35.160915,129.17152,"1, Dalmaji-gil 62beon-gil
",true,true,comparison_source_missing,
FoodService:198:en,Sinchang Gukbap (신창국밥),food,35.10093,129.02254,"53, Bosu-daero, Seo-gu",true,true,comparison_source_missing,
FoodService:201:en,Pyeongan-do Jokbal (평안도족발),food,35.161945,129.16637,"14, Dalmaji-gil, Haeundae-gu",true,true,comparison_source_missing,
FoodService:203:en,Hanwoo Sootbul Yanggopchang (한우숯불양곱창),food,35.165897,129.17079,"385, Haeundaehaebyeon-ro, Haeundae-gu",true,true,comparison_source_missing,
FoodService:204:en,Ssangdungi  Dwaejigukbap  Main Store(쌍둥이돼지국밥 본점),food,35.13177,129.0923,"35-1, UN pyeonghwa-ro, Nam-gu",true,true,comparison_source_missing,
KorService2:129156:ko,가덕도 등대,,35.0006471157,128.8295937487,부산광역시 강서구 외양포로 10,true,false,new_candidate,
KorService2:2726843:ko,가덕도 연대봉,,35.0317518247,128.8216713782,부산광역시 강서구 천성동,false,false,new_candidate,
KorService2:2845011:ko,가마솥생복집,,35.2470210453,129.2134452993,부산광역시 기장군 차성로 327-2 가마솥생복집,true,false,new_candidate,
KorService2:2778443:ko,가야포차선지국,,35.3223258488,129.1788934446,부산광역시 기장군 정관읍 정관8로 28,false,false,new_candidate,
