canonical_id,canonical_key,status,category,source_service,lang_count,member_count,languages,kto_merges,title_ko,address,district,latitude,longitude,image_url,venue,event_period_raw
busan-A-00044,AttractionService:315:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,부산어촌민속관,부산광역시 북구 학사로 128,북구,35.234074,129.00859,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226184130120_ttiel,,
busan-A-00045,AttractionService:325:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,삼락생태공원,부산광역시 사상구 삼락동 29-46,사상구,35.16884,128.97397,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602100722403_ttiel,,
busan-A-00046,AttractionService:326:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"암남공원, 송도해안볼레길",부산광역시 서구 암남동 산193,서구,35.058804,129.01566,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227112720050_ttiel,,
busan-A-00047,AttractionService:333:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,장림포구 (부네치아),부산광역시 사하구 장림로93번길 72,사하구,35.080727,128.95694,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227160751479_ttiel,,
busan-A-00048,AttractionService:334:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,가덕도,부산광역시 강서구 가덕해안로 21,강서구,35.022896,128.8172,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227161822663_ttiel,,
busan-A-00049,AttractionService:335:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,렛츠런파크 부산경남,부산광역시 강서구 가락대로 929,강서구,35.1566,128.87521,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227163229549_ttiel,,
busan-A-00050,AttractionService:340:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,국립부산과학관,부산광역시 기장군 기장읍 동부산관광6로 59,기장군,35.20468,129.2127,https://www.visitbusan.net/uploadImgs/files/cntnts/20230901132543063_ttiel,,
busan-A-00051,AttractionService:343:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,송상현광장,부산광역시 부산진구 중앙대로 지하 818(전포동),부산진구,35.166397,129.06595,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227175243198_ttiel,,
busan-A-00052,AttractionService:344:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,어린이대공원,부산광역시 부산진구 새싹로 295,부산진구,35.184998,129.04153,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227180139517_ttiel,,
busan-A-00053,AttractionService:346:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,국립부산국악원,부산광역시 부산진구 국악로2,부산진구,35.17132,129.05424,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227181259877_ttiel,,
busan-A-00054,AttractionService:347:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,삼광사,부산광역시 부산진구 초읍천로43번길 77,부산진구,35.175694,129.04338,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227184611977_ttiel,,
busan-A-00055,AttractionService:348:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,청사포와 미포,청사포 부산광역시  해운대구 청사포로128번길 25 미포 부산광역시 해운대구 달맞이길62번길,해운대구,35.1602,129.19138,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227190325222_ttiel,,
busan-A-00056,AttractionService:354:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,부산시민공원,부산광역시 부산진구 시민공원로 73,부산진구,35.16841,129.05739,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227194942971_ttiel,,
busan-A-00057,AttractionService:358:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"호천마을(한,영,중간,중번,일)",부산광역시 부산진구 엄광로 491,부산진구,35.144295,129.05106,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202219554_ttiel,,
