candidate_id,provider,image_url,source_record_id,source_detail_url,rights_field_name,rights_field_value,linkage_method,linkage_status,confidence,note
busan-K-00354,none,,,,,,,no_image,n/a,이미지 URL 없음
busan-K-00356,kto,http://tong.visitkorea.or.kr/cms/resource/27/3334627_image2_1.jpg,2775565,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2775565→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00357,kto,http://tong.visitkorea.or.kr/cms/resource/02/3561302_image2_1.jpg,2776276,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2776276→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00358,kto,http://tong.visitkorea.or.kr/cms/resource/98/3561498_image2_1.jpg,2776286,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2776286→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00362,none,,,,,,,no_image,n/a,이미지 URL 없음
busan-K-00363,kto,http://tong.visitkorea.or.kr/cms/resource/65/2778665_image2_1.jpg,2778476,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2778476→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00365,none,,,,,,,no_image,n/a,이미지 URL 없음
busan-K-00366,kto,http://tong.visitkorea.or.kr/cms/resource/37/2781837_image2_1.jpg,2781598,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2781598→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00367,kto,http://tong.visitkorea.or.kr/cms/resource/28/2782128_image2_1.jpg,2781799,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2781799→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00368,kto,http://tong.visitkorea.or.kr/cms/resource/38/3575838_image2_1.jpg,2782626,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type1,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782626→raw cpyrhtDivCd=Type1. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00369,kto,http://tong.visitkorea.or.kr/cms/resource/53/2800253_image2_1.jpg,2782628,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782628→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00370,kto,http://tong.visitkorea.or.kr/cms/resource/29/2795729_image2_1.png,2782695,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782695→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00371,kto,http://tong.visitkorea.or.kr/cms/resource/74/2795674_image2_1.jpg,2782699,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782699→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00372,kto,http://tong.visitkorea.or.kr/cms/resource/54/2795954_image2_1.png,2782714,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782714→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00373,kto,http://tong.visitkorea.or.kr/cms/resource/94/2794294_image2_1.jpg,2782747,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782747→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00374,kto,http://tong.visitkorea.or.kr/cms/resource/38/2794238_image2_1.jpg,2782750,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782750→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00375,kto,http://tong.visitkorea.or.kr/cms/resource/97/2795997_image2_1.jpg,2782757,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782757→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00376,kto,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,2782765,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782765→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00377,kto,http://tong.visitkorea.or.kr/cms/resource/08/2796008_image2_1.jpg,2782794,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2782794→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00378,kto,http://tong.visitkorea.or.kr/cms/resource/87/3500487_image2_1.jpg,2783308,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2783308→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
busan-K-00379,kto,http://tong.visitkorea.or.kr/cms/resource/51/2787651_image2_1.jpg,2783344,https://www.data.go.kr/data/15101578/openapi.do,cpyrhtDivCd,Type3,linked_source_keys_to_contentid_cpyrhtdivcd,auto_linkable,high,KorService2:2783344→raw cpyrhtDivCd=Type3. 권리 유형 확인됨 — 상업·수정·출처 조건은 20A-2 정책 참조.
