candidate_id,restaurant_name,image_url,http_status,mime_type,file_size_bytes,width,height,technical_status,visual_inspection_status,final_recommendation,decision_reason
busan-F-00040,국이네낙지볶음,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418103113463_ttiel,200,image/jpeg,159226,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 159226B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00041,베지나랑,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608142501309_ttiel,200,image/jpeg,115241,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 115241B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00042,광안리신라횟집,https://www.visitbusan.net/uploadImgs/files/cntnts/20230523145317638_ttiel,200,image/jpeg,103050,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 103050B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00043,이층집 564-9,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219153031872_ttiel,200,image/jpeg,110995,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 110995B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00044,초원복국,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416153630841_ttiel,200,image/jpeg,112207,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 112207B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00045,석화한정식,https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_ttiel,200,image/jpeg,63755,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 63755B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00046,내당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417092928274_ttiel,200,image/jpeg,110365,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 110365B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00047,봉식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417103325942_ttiel,200,image/jpeg,83973,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 83973B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00048,신발원,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220111654951_ttiel,200,image/jpeg,77626,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 77626B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00049,초량1941,https://www.visitbusan.net/uploadImgs/files/cntnts/20230601112526719_ttiel,200,image/jpeg,66089,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 66089B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00050,60년 전통 할매국밥,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416171620563_ttiel,200,image/jpeg,64134,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 64134B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00051,함경면옥,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512102852754_ttiel,200,image/jpeg,101271,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 101271B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00052,김유순대구뽈찜,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525155402064_ttiel,200,image/jpeg,77525,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 77525B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00053,백산키친,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416172624208_ttiel,200,image/jpeg,54467,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 54467B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00054,왔다식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418143145988_ttiel,200,image/jpeg,143023,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 143023B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00055,영변횟집,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818134302422_ttiel,200,image/jpeg,102940,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 102940B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
