candidate_id,title_ko,category,district,lat,lng,primary_source_type,primary_external_id,linked_source_keys,source_url,display_url,primary_image_url,image_count,image_status,rights_status,rights_basis,collected_at,provenance_file,provenance_commit
busan-A-00023,신선대,attraction,남구,35.102272,129.10277,busan_official_api,AttractionService:279:ko,AttractionService:279:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225165635368_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00024,"송정해수욕장, 죽도공원",attraction,해운대구,35.1786,129.19966,busan_official_api,AttractionService:280:ko,AttractionService:280:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20230630185239164_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00025,"아난티 코브 이터널저니(한,영,중간,중번,일)",attraction,기장군,35.197235,129.22784,busan_official_api,AttractionService:281:ko,AttractionService:281:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225170855698_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00026,민락수변공원,attraction,수영구,35.15487,129.13399,busan_official_api,AttractionService:285:ko,AttractionService:285:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225174730014_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00027,"송도해수욕장(한,영,중간,중번,일)",attraction,서구,35.07595,129.01694,busan_official_api,AttractionService:286:ko,AttractionService:286:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225175459392_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00028,아미산전망대,attraction,사하구,35.052727,128.96075,busan_official_api,AttractionService:287:ko,AttractionService:287:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225180243523_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00029,아미동 비석마을,attraction,서구,35.099068,129.0127,busan_official_api,AttractionService:288:ko,AttractionService:288:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226093554532_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00030,부산시립미술관,attraction,해운대구,35.16702,129.1369,busan_official_api,AttractionService:289:ko,AttractionService:289:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226100545553_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00031,오랑대공원,attraction,기장군,35.205246,129.22583,busan_official_api,AttractionService:290:ko,AttractionService:290:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226101451768_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00032,국립수산과학관,attraction,기장군,35.193687,129.22423,busan_official_api,AttractionService:291:ko,AttractionService:291:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226102157667_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00033,요산문학관,attraction,금정구,35.27258,129.08571,busan_official_api,AttractionService:295:ko,AttractionService:295:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226105751809_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00034,박차정의사 생가,attraction,동래구,35.20168,129.0904,busan_official_api,AttractionService:296:ko,AttractionService:296:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110347271_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
