candidate_id,title_ko,category,image_status_21g,image_status_21h_rev2,status_changed,rights_status
busan-A-00139,"목련꽃 가득 안은 성암사, 나만 알고 싶은 봄꽃 성지(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00140,"땅뫼산 황토숲길(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00141,"인도문화원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00142,"KF아세안문화원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00143,"오초량(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00144,"부산이슬람성원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00145,"친환경스카이웨이전망대(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00146,"부산근현대역사관 본관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00147,"무사이(한, 영, 중간, 중번, 일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00148,"부산 트래블라운지 (한, 영, 중간, 중번, 일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00149,"반여 초록공원 장산계곡(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00150,"중앙공원(구 대신공원) 대신계곡(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00151,"구덕야영장 계곡(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00152,"범어사 용성계곡(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00153,"용소웰빙공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00154,"국립부산국악원 국악체험관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00155,"부산수학문화관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00156,"마하사(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00157,"이바구길 사진관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00158,"북항 친수공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00159,"북항재개발 홍보관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00160,"문화예술플랫폼(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00161,"북두칠성도서관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00162,"송정 구덕포길(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00163,"망양로 산복도로 전시관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00164,"닥밭골 벽화마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00165,"대청스카이전망대(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00166,"색채마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00167,"뮤직컴플렉스 서울 부산점(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00168,"누리마루 APEC하우스 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00169,"용호 별빛공원(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00170,"부산 워케이션 거점센터(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00171,"더휴일X데스커 워케이션 센터(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00172,"씨씨윗북 북스토어(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00173,"패스파인더 남포점(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00174,"도모헌(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00175,"동삼동패총전시관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00176,"부산시민공원 역사문화관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00177,"다대포 바다누리길(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00178,"광안리 골방(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00179,"오시리아 해안 산책로(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00180,"홍티아트센터(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00181,"일광 광산마을(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
