candidate_id,title_ko,category,image_url,image_source_domain,prior_vb_rights_class,rights_status,classification_method,rights_basis,blocked_reason,review_reason
busan-A-00052,어린이대공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227180139517_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00053,국립부산국악원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227181259877_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00054,삼광사,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227184611977_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00055,청사포와 미포,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227190325222_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00056,부산시민공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227194942971_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00057,"호천마을(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202219554_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00058,"봉래산(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202829011_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00059,영화의 거리,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227203859552_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00060,APEC나루공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227204420832_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00061,"40계단, 문화관",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229141716592_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
